disciplina,dificuldade,pergunta,opçao_a,opçao_b,opçao_c,opçao_d,opçao_e,resposta;
Biologia,Difícil,A mitose é essencial para o organismo porque permite:,reprodução sexuada,crescimento e reparo,produção de energia,digestão,respiração,b;
Química,Fácil,Reações químicas são identificadas quando:,muda temperatura,surgem novas substâncias,muda o estado físico,aumenta volume,diminui massa,b;
Física,Médio,A potência mede:,energia total,energia por tempo,força aplicada,massa,volume,b;
Linguagens - Língua Portuguesa,Médio,"Ser cronista Sei que não sou, mas tenho meditado ligeiramente no assunto. Crônica é um relato? É uma conversa? É um resumo de um estado de espírito? Não sei, pois antes de começar a escrever para o Jornal do Brasil, eu só tinha escrito romances e contos. E sem perceber, à medida que escrevia para aqui, ia me tornando pessoal demais, correndo o risco de em breve publicar minha vida passada e presente, o que não pretendo. Outra coisa notei: basta eu saber que estou escrevendo para o jornal, isto é, para algo aberto facilmente por todo o mundo, e não para um livro, que só é aberto por quem realmente quer, para que, sem mesmo sentir, o modo de escrever se transforme. Não é que me desagrade mudar, pelo contrário. Mas queria que fossem mudanças mais profundas e interiores que não viessem a se refletir no escrever. Mas mudar só porque isso é uma coluna ou uma crônica? Ser mais leve só porque o leitor assim o quer? Divertir? Fazer passar uns minutos de leitura? E outra coisa: nos meus livros quero profundamente a comunicação profunda comigo e com o leitor. Aqui no jornal apenas falo com o leitor e agrada-me que ele fique agradado. Vou dizer a verdade: não estou contente. LISPECTOR, C. In: A descoberta do mundo. Rio de Janeiro: Rocco, 1999. Clarice Lispector, ao refletir sobre escrever para o jornal, questiona a necessidade de ser mais leve e divertir. No texto, ao refletir sobre a atividade de cronista, a autora questiona características do gênero crônica, como:",relação distanciada entre os interlocutores.,articulação de vários núcleos narrativos.,brevidade no tratamento da temática.,descrição minuciosa dos personagens.,público leitor exclusivo.,c;
Linguagens - Inglês,Fácil,"Viva la Vida I used to rule the world Seas would rise when I gave the word Now in the morning and I sleep alone Sweep the streets I used to own I used to roll the dice Feel the fear in my enemy's eyes Listen as the crowd would sing Now the old king is dead! Long live the king! One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand MARTIN, C. Viva la vida, Coldplay. In: Viva la vida or Death and all his friends. Parlophone, 2008. Letras de músicas abordam temas que, de certa forma, podem ser reforçados pela repetição de trechos ou palavras. O fragmento da canção Viva la vida, por exemplo, permite conhecer o relato de alguém que:",costumava ter o mundo aos seus pés e de repente se viu sem nada.,almeja o título de rei e por ele tem enfrentado inúmeros inimigos.,causa pouco temor a seus inimigos embora tenha muito poder.,limpava as ruas e com seu esforço tornou-se rei de seu povo.,tinha a chave para todos os castelos nos quais desejava morar.,a;
Linguagens - Espanhol,Médio,"Revolución en la arquitectura China. Levantar rascacielos en 19 días. Un rascacielos de 57 pisos no llama la atención en la China del siglo XXI. Salvo que se haya construido en 19 días, claro. Y eso es precisamente lo que ha conseguido Broad Sustainable Building (BSB), una empresa dedicada a la fabricación de purificadores de aire y de equipos de aire acondicionado para grandes infraestructuras que ahora se ha empeñado en liderar una revolución con su propio modelo de arquitectura modular prefabricada. Como subraya su presidente, Zhang Yue, es una fórmula económica, ecológica, segura, y limpia. Ese último término, además, lo utiliza tanto para referirse al polvo que se produce en la construcción como a los gruesos sobres que suelen circular por debajo de las mesas en adjudicaciones y permisos varios. Quiero que nuestros edificios alumbren una nueva era en la arquitectura, y que se conviertan en símbolo de la lucha contra la contaminación y el cambio climático, que es la mayor amenaza a la que se enfrenta la humanidad. Es como montar un Lego. Apenas hay subcontratación, lo cual ayuda a mantener un costo bajo y un control de calidad estricto, y nos permite eliminar también la corrupción inherente al sector. Disponível em: http://tecnologia.elpais.com. Acesso em: 23 jun. 2015 (adaptado). No texto, alguns dos benefícios de se utilizar estruturas pré-moldadas na construção de altos edifícios estão expressos por meio da palavra limpia. Essa expressão indica que, além de produzir menos resíduos, o uso desse tipo de estrutura:",reduz o contingente de mão de obra.,inibe a corrupção na construção civil.,facilita o controle da qualidade da obra.,apresenta um modelo arquitetônico conciso.,otimiza os custos da construção de edifício.,b;
História,Médio,"As relações do Estado brasileiro com o movimento operário e sindical,bem como as políticas públicas voltadas para as questões sociais durante o primeiro governo da Era Vargas (1930-1945), são temas amplamente estudados pela academia brasileira em seus vários aspectos. São também os temas mais lembrados pela sociedade quando se pensa no legado varguista. D'ARAUJO M. C. Estado, classe trabalhadora e políticas sociais. In: FERREIRA J.;DELGADO L. A. (Org.). O tempo do nacional-estatismo: Do início ao apogeu do Estado Novo. Rio de Janeiro: Civilização Brasileira, 2007. Durante o governo de Getúlio Vargas, foram desenvolvidas ações de cunho social, dentre as quais se destaca a:",disseminação de organizações paramilitares inspiradas nos regimes fascistas europeus.,aprovação de normas que buscavam garantir a posse das terras aos pequenos agricultores.,criação de um conjunto de leis trabalhistas associadas ao controle das representações sindicais.,implementação de um sistema de previdência e seguridade para atender aos trabalhadores rurais.,implantação de associações civis como uma estratégia para aproximar as classes médias e o governo.,c;
Geografia,Médio,"A crosta terrestre é constituída por grande variedade de rochas, classificadas em ígneas, metamórficas e sedimentares, exemplificadas nos grupos abaixo. I. Granito e basalto. II. Gnaisse e mármore. III. Arenito e calcário. Assinale a alternativa que indica, respectivamente, exemplos de rochas ígneas e rochas sedimentares.",""II e III (Gnaisse e mármore / Arenito e calcário)"",""I e II (Granito e basalto / Gnaisse e mármore)"",""III e I (Arenito e calcário / Granito e basalto)"",""II e I (Gnaisse e mármore / Granito e basalto)"",""I e III (Granito e basalto / Arenito e calcário)"",e;
Matemática,Fácil,"Um comerciante comprou um produto por R$ 80.00 e deseja vendê-lo com um lucro de 25% sobre o preço de custo. Porém, devido à concorrência, ele decidiu dar um desconto de 10% sobre o preço de venda pretendido inicialmente. Nessas condições, o preço final de venda será:","R$ 90,00","R$ 92,00","R$ 94,00","R$ 96,00","R$ 98,00",a;
Matemática,Difícil,"Um arquiteto está reformando uma casa. De modo a contribuir com o meio ambiente, decide reaproveitar tábuas de madeira retiradas da casa. Ele dispõe de 40 tábuas de 540 cm, 30 de 810 cm e 10 de 1.080 cm, todas de mesma largura e espessura. Ele pediu a um carpinteiro que cortasse as tábuas em pedaços de mesmo comprimento, sem deixar sobras, e de modo que as novas peças fossem do maior tamanho possível, mas de comprimento menor que 2 m. Atendendo ao pedido do arquiteto, o carpinteiro deverá produzir um número mínimo de peças igual a:",100,110,120,130,140,d;
 
Tecnología en EL PAÍS
Las últimas noticias sobre tecnología con EL PAÍS. Internet, redes sociales, móviles, gadgets, software, legislación, seguridad y empresas de tecnología, ocio, entretenimiento y los blog de tecnología
 
